Name,Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
FIFA 17,PS4,2016,Sports,0.9,6.75,0.09,1.33,9.07,85,41,4.9,442,E
Uncharted 4: A Thiefs End,PS4,2016,Shooter,2.92,2.98,0.19,1.18,7.28,93,113,7.9,7238,T
Call of Duty: Infinite Warfare,PS4,2016,Shooter,2.15,2.57,0.16,0.93,5.8,77,86,3.5,1208,M
Battlefield 1,PS4,2016,Shooter,1.45,2.81,0.23,0.81,5.3,89,33,8.4,896,M
Tom Clancys The Division,PS4,2016,Shooter,1.37,1.85,0.15,0.63,4,80,64,7,2234,M
Battlefield 1,XOne,2016,Shooter,2.14,0.97,0.01,0.32,3.44,87,38,8.1,470,M
Final Fantasy XV,PS4,2016,Role-Playing,1.01,1.12,0.81,0.42,3.37,82,102,7.7,2659,T
Overwatch,PS4,2016,Shooter,0.99,1.03,0.16,0.4,2.57,90,31,6.1,1408,T
NBA 2K17,PS4,2016,Sports,1.57,0.37,0.02,0.43,2.39,88,47,6.6,174,E
Far Cry: Primal,PS4,2016,Action,0.63,1.32,0.07,0.37,2.38,76,91,6.3,648,M
Mafia III,PS4,2016,Action,0.48,1.24,0.03,0.32,2.07,68,66,5.1,1194,M
Watch Dogs 2,PS4,2016,Action,0.56,1.1,0.07,0.31,2.04,82,94,7.9,723,M
No Mans Sky,PS4,2016,Action,0.66,0.77,0.03,0.28,1.75,71,94,4.5,5146,T
Dark Souls III,PS4,2016,Role-Playing,0.69,0.47,0.34,0.24,1.74,89,69,8.7,1979,M
Forza Horizon 3,XOne,2016,Racing,0.62,0.85,0.01,0.13,1.61,91,91,7.4,619,E
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,0.45,0.49,0.11,0.19,1.23,79,60,8.3,208,T
Pokken Tournament,WiiU,2016,Fighting,0.56,0.32,0.18,0.09,1.13,76,74,8,276,E10+
Dishonored 2,PS4,2016,Action,0.41,0.51,0.01,0.18,1.1,88,62,7.7,629,M
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,0.59,0.32,0.09,0.09,1.09,86,74,8.4,340,T
Titanfall 2,PS4,2016,Shooter,0.46,0.38,0.05,0.17,1.06,89,61,8.4,769,M
Kirby: Planet Robobot,3DS,2016,Action,0.3,0.18,0.5,0.05,1.03,81,71,8.7,92,E
Street Fighter V,PS4,2016,Fighting,0.42,0.28,0.09,0.15,0.94,77,80,3.4,1233,T
Dragon Ball: Xenoverse 2,PS4,2016,Action,0.29,0.38,0.1,0.13,0.91,72,57,7.7,123,T
Lego Star Wars: The Force Awakens,PS4,2016,Action,0.19,0.55,0.01,0.14,0.89,78,61,7.5,91,E10+
LEGO Marvels Avengers,PS4,2016,Action,0.28,0.4,0.01,0.13,0.82,71,70,7,87,E10+
The Last Guardian,PS4,2016,Action,0.25,0.26,0.08,0.1,0.7,82,99,7.6,1410,T
Quantum Break,XOne,2016,Action,0.38,0.2,0.01,0.06,0.64,77,106,6.8,1682,M
Paper Mario: Color Splash,WiiU,2016,Role-Playing,0.29,0.23,0.06,0.05,0.64,76,73,6.9,226,E
Mario Party: Star Rush,3DS,2016,Misc,0.17,0.25,0.11,0.04,0.57,68,38,6.6,18,E
Pro Evolution Soccer 2017,PS4,2016,Sports,0.04,0.34,0.12,0.06,0.56,85,62,7.5,498,E
BioShock The Collection,PS4,2016,Shooter,0.15,0.24,0.02,0.07,0.48,84,39,8.5,221,M
One Piece: Burning Blood,PS4,2016,Fighting,0.12,0.17,0.08,0.06,0.42,66,45,7.8,50,T
Life is Strange,PS4,2016,Adventure,0.16,0.15,0.04,0.06,0.41,85,23,8.6,695,M
World of Final Fantasy,PS4,2016,Role-Playing,0.1,0.17,0.08,0.05,0.4,77,78,8.2,234,E10+
Homefront: The Revolution,PS4,2016,Shooter,0.08,0.22,0.03,0.05,0.38,48,43,3.9,216,M
Star Fox: Zero,WiiU,2016,Shooter,0.18,0.1,0.08,0.03,0.38,69,82,7.4,669,E10+
Mirrors Edge Catalyst,PS4,2016,Platform,0.12,0.17,0.03,0.06,0.37,69,50,4.7,589,T
Battleborn,PS4,2016,Shooter,0.19,0.09,0.02,0.06,0.36,68,55,6.8,405,T
PlayStation VR Worlds,PS4,2016,Misc,0.09,0.15,0.02,0.04,0.3,59,48,7,78,M
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,0.09,0.04,0.08,0.03,0.23,87,49,8.2,181,T
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,0.07,0.03,0.1,0.02,0.23,69,33,7.7,55,T
ReCore,XOne,2016,Action,0.12,0.05,0.01,0.02,0.2,63,75,6.6,457,T
The King of Fighters XIV,PS4,2016,Fighting,0.09,0.02,0.05,0.02,0.18,79,54,8.5,212,T
Dead Island Definitive Collection,PS4,2016,Action,0.05,0.07,0.02,0.02,0.16,63,32,6.4,46,M
RIGS: Mechanized Combat League,PS4,2016,Action,0.05,0.06,0.01,0.02,0.14,78,43,8,79,T
DriveClub VR,PS4,2016,Racing,0.04,0.06,0.01,0.02,0.13,66,35,7.4,112,E
FIFA 16,PS4,2015,Sports,1.13,6.13,0.06,1.28,8.6,82,42,4.3,902,E
Fallout 4,PS4,2015,Role-Playing,2.58,3.42,0.24,1.17,7.41,87,58,6.5,4258,M
Uncharted: The Nathan Drake Collection,PS4,2015,Action,2.13,1.79,0.09,0.79,4.8,86,78,8.1,1289,T
Halo 5: Guardians,XOne,2015,Shooter,2.86,1.29,0.03,0.42,4.61,84,101,6.4,2455,T
Splatoon,WiiU,2015,Shooter,1.56,1.24,1.48,0.26,4.54,81,88,8.5,1189,E10+
Fallout 4,XOne,2015,Role-Playing,2.59,1.37,0.01,0.4,4.37,88,39,6.2,1759,M
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,1.07,2.22,0.23,0.62,4.14,92,79,9.2,10270,M
Batman: Arkham Knight,PS4,2015,Action,1.59,1.73,0.11,0.66,4.09,87,89,7.6,2715,M
NBA 2K16,PS4,2015,Sports,2.51,0.66,0.04,0.69,3.9,87,51,6.7,369,E10+
Assassins Creed Syndicate,PS4,2015,Action,0.84,2.01,0.07,0.53,3.44,76,86,6.8,1341,M
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,1.1,1.36,0.49,0.48,3.43,93,86,8.2,3987,M
Super Mario Maker,WiiU,2015,Platform,1.21,0.92,0.95,0.2,3.28,88,85,8.7,698,E
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,0.55,1.07,1.41,0.13,3.16,66,60,6.8,107,E
Bloodborne,PS4,2015,Action,1.08,0.84,0.26,0.39,2.58,92,100,8.6,6432,M
The Legend of Zelda: Majoras Mask 3D,3DS,2015,Action,1.16,0.57,0.47,0.17,2.38,89,82,9,483,E10+
Tom Clancys Rainbow Six: Siege,PS4,2015,Shooter,0.58,1.21,0.15,0.34,2.28,73,40,7.3,490,M
Dying Light,PS4,2015,Action,1,0.68,0.12,0.35,2.14,74,58,7.9,1300,M
Battlefield: Hardline,PS4,2015,Shooter,0.71,0.94,0.14,0.32,2.11,73,46,5,850,M
Destiny: The Taken King,PS4,2015,Shooter,0.78,0.79,0.05,0.31,1.94,86,81,6,1083,T
Forza Motorsport 6,XOne,2015,Racing,0.84,0.91,0.03,0.16,1.93,87,85,7.9,865,E
Just Cause 3,PS4,2015,Action,0.5,1.03,0.08,0.29,1.9,73,42,6.5,413,M
The Order: 1886,PS4,2015,Shooter,0.62,0.78,0.07,0.27,1.75,63,94,6.6,3191,M
Until Dawn,PS4,2015,Adventure,0.48,0.91,0.05,0.26,1.71,79,103,8.2,2197,M
Mario Party 10,WiiU,2015,Misc,0.75,0.55,0.24,0.12,1.67,66,66,6.5,280,E
Rise of the Tomb Raider,XOne,2015,Adventure,0.56,0.75,0.02,0.11,1.44,86,102,8,1297,M
Yoshis Woolly World,WiiU,2015,Platform,0.66,0.47,0.12,0.11,1.35,78,83,8.4,381,E
Dying Light,XOne,2015,Action,0.89,0.3,0.01,0.13,1.33,74,26,7.8,388,M
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,0.5,0.39,0.34,0.08,1.31,69,44,8.8,191,E
Battlefield: Hardline,XOne,2015,Shooter,0.73,0.37,0.01,0.11,1.22,71,27,5.1,299,M
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,0.56,0.33,0.18,0.09,1.16,73,73,7.5,182,E
Dragon Ball: XenoVerse,PS4,2015,Fighting,0.32,0.53,0.13,0.16,1.14,69,50,7.7,600,T
Project CARS,PS4,2015,Racing,0.23,0.7,0.03,0.17,1.13,83,37,6.6,367,E
Evolve,PS4,2015,Shooter,0.37,0.41,0.05,0.15,0.98,76,46,4.3,897,M
LEGO Jurassic World,PS4,2015,Action,0.36,0.42,0.02,0.15,0.95,70,46,7,80,E10+
Borderlands: The Handsome Collection,PS4,2015,Shooter,0.42,0.33,0.03,0.15,0.92,82,49,7.8,347,M
Xenoblade Chronicles X,WiiU,2015,Role-Playing,0.38,0.28,0.15,0.06,0.86,84,87,8.9,1562,T
Rare Replay,XOne,2015,Misc,0.52,0.22,0.01,0.08,0.83,84,75,7.7,330,M
Pro Evolution Soccer 2016,PS4,2015,Sports,0.14,0.43,0.14,0.1,0.8,87,54,7.1,682,E
F1 2015,PS4,2015,Racing,0.09,0.45,0.03,0.1,0.67,65,46,6.4,44,E
Resident Evil: Revelations 2,PS4,2015,Action,0.14,0.24,0.1,0.07,0.56,75,30,7.7,287,M
Kirby and the Rainbow Curse,WiiU,2015,Platform,0.25,0.14,0.13,0.04,0.54,73,72,8,228,E
Bravely Second: End Layer,3DS,2015,Role-Playing,0.19,0.11,0.19,0.03,0.51,81,70,7.4,108,T
One Piece: Pirate Warriors 3,PS4,2015,Action,0.1,0.22,0.11,0.06,0.48,74,34,7.4,118,T
Mario Tennis Ultra Smash,WiiU,2015,Sports,0.14,0.17,0.14,0.03,0.48,58,58,5.3,133,E
Wolfenstein: The Old Blood,PS4,2015,Action,0.1,0.25,0.02,0.07,0.44,76,54,8,271,
Animal Crossing: Amiibo Festival,WiiU,2015,Misc,0.2,0.11,0.09,0.03,0.43,46,20,4.3,174,E
Tales of Zestiria,PS4,2015,Role-Playing,0.17,0.15,0.03,0.07,0.42,72,59,6.8,316,T
Hatsune Miku: Project Mirai DX,3DS,2015,Misc,0.18,0.04,0.1,0.02,0.34,80,32,8.5,72,E10+
Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,0.12,0.03,0.16,0.02,0.34,61,32,6.6,33,T
Persona 4: Dancing All Night,PSV,2015,Misc,0.1,0.04,0.15,0.05,0.34,76,51,8.6,84,T
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,0.12,0.08,0.07,0.04,0.31,80,43,8.1,175,T
The Legend of Legacy,3DS,2015,Role-Playing,0.13,0.01,0.11,0.02,0.27,67,31,7.1,55,E10+
Stella Glow,3DS,2015,Role-Playing,0.17,0.01,0.05,0.02,0.25,79,32,8.7,82,T
Etrian Mystery Dungeon,3DS,2015,Role-Playing,0.1,0.01,0.13,0.01,0.25,77,44,7.9,49,E10+
Ride,PS4,2015,Racing,0.04,0.13,0.03,0.03,0.23,66,30,7,47,E
Code Name: S.T.E.A.M.,3DS,2015,Strategy,0.14,0.05,0.01,0.02,0.21,69,69,7.8,126,T
7th Dragon III Code: VFD,3DS,2015,Role-Playing,0.05,0.02,0.13,0.01,0.2,75,29,8.2,38,T
Toukiden Kiwami,PS4,2015,Action,0.06,0.07,0.02,0.03,0.18,74,35,7.6,74,T
Bladestorm: Nightmare,PS4,2015,Action,0.08,0.04,0.03,0.03,0.18,58,33,6.5,21,T
Gravity Rush Remastered,PS4,2015,Action,0.02,0.05,0.04,0.01,0.13,80,62,8.2,164,T
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,Role-Playing,0.04,0.02,0.07,0.01,0.13,75,32,8.1,48,
Rodea the Sky Soldier,WiiU,2015,Action,0.09,0.02,0.01,0.01,0.13,45,31,6.5,81,E10+
Samurai Warriors 4-II,PS4,2015,Action,0.03,0.02,0.06,0.01,0.12,73,26,7.4,25,T
Samurai Warriors 4: Empires,PS4,2015,Action,0.03,0.01,0.06,0.01,0.11,71,29,6.7,17,T
Arslan: The Warriors of Legend,PS4,2015,Action,0.03,0.01,0.05,0.01,0.1,69,43,6.6,23,T
Grand Theft Auto V,PS4,2014,Action,4.12,6.77,0.39,2.08,13.36,97,66,8.3,2955,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,2.83,3.48,0.14,1.24,7.68,83,39,5.7,1446,M
Mario Kart 8,WiiU,2014,Racing,3.17,2.25,1.29,0.52,7.23,88,82,9.1,1607,E
FIFA 15,PS4,2014,Sports,0.8,4.33,0.05,0.91,6.08,82,47,5.7,993,E
Destiny,PS4,2014,Shooter,2.5,2.07,0.16,0.93,5.66,76,95,6.1,5389,T
Call of Duty: Advanced Warfare,XOne,2014,Shooter,3.24,1.55,0.01,0.48,5.28,81,53,5.4,900,M
Watch Dogs,PS4,2014,Action,1.4,1.93,0.11,0.65,4.09,80,80,6.3,3018,M
Far Cry 4,PS4,2014,Shooter,1.15,2.18,0.1,0.63,4.06,85,83,7.7,1663,M
Assassins Creed: Unity,PS4,2014,Action,1.2,2.09,0.08,0.63,3.99,70,40,4.9,2069,M
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,0.7,0.48,2.62,0.11,3.92,86,80,8.7,348,T
Halo: The Master Chief Collection,XOne,2014,Shooter,1.98,1,0.03,0.3,3.31,85,69,7.2,1272,M
Middle-Earth: Shadow of Mordor,PS4,2014,Action,1.02,1.43,0.05,0.47,2.97,84,85,8.1,1907,M
Titanfall,XOne,2014,Shooter,1.85,0.8,0.04,0.27,2.96,86,68,6.4,2661,M
inFAMOUS: Second Son,PS4,2014,Action,1.29,0.98,0.07,0.46,2.8,80,90,7.9,2954,T
NBA 2K15,PS4,2014,Sports,1.47,0.54,0.01,0.43,2.46,83,50,6.9,294,E
DriveClu,PS4,2014,Racing,0.36,1.47,0.02,0.33,2.17,71,85,6.1,1579,E
Dragon Age: Inquisition,PS4,2014,Role-Playing,0.73,0.88,0.08,0.32,2.01,89,43,7.4,2005,M
LittleBigPlanet 3,PS4,2014,Platform,0.68,0.93,0.01,0.31,1.94,79,78,7.1,507,E
Kirby: Triple Deluxe,3DS,2014,Platform,0.61,0.34,0.79,0.09,1.84,80,68,8.9,207,E
The Evil Within,PS4,2014,Action,0.56,0.86,0.11,0.27,1.8,75,65,7.3,1228,M
The Crew,PS4,2014,Racing,0.37,1.08,0.03,0.27,1.75,61,60,5.4,576,T
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,0.72,0.58,0.16,0.12,1.58,83,77,8.9,715,E
Wolfenstein: The New Order,PS4,2014,Shooter,0.48,0.8,0.03,0.24,1.55,79,73,8.1,1124,M
Yoshis New Island,3DS,2014,Platform,0.49,0.56,0.29,0.09,1.43,64,71,6.2,157,E
Forza Horizon 2,XOne,2014,Racing,0.51,0.78,0.01,0.11,1.41,86,85,8.2,980,E10+
Titanfall,X360,2014,Shooter,0.88,0.34,0.02,0.13,1.37,83,21,5.9,374,M
Assassins Creed: Rogue,PS3,2014,Action,0.46,0.57,0.06,0.2,1.29,72,53,7.5,294,M
Dark Souls II,PS3,2014,Role-Playing,0.4,0.33,0.4,0.15,1.28,91,69,8.1,1112,T
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,0.45,0.47,0.17,0.18,1.27,75,70,6.2,1318,M
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,0.57,0.4,0.19,0.09,1.26,81,78,8.6,378,E
Hyrule Warriors,WiiU,2014,Action,0.59,0.42,0.13,0.1,1.23,76,81,8.3,664,T
Alien: Isolation,PS4,2014,Shooter,0.35,0.57,0.04,0.18,1.14,79,50,8.1,800,M
EA Sports UFC,PS4,2014,Sports,0.46,0.41,0.01,0.18,1.05,70,57,6.1,280,T
Bayonetta 2,WiiU,2014,Action,0.34,0.28,0.1,0.06,0.78,91,80,8.3,1226,M
Pro Evolution Soccer 2015,PS4,2014,Sports,0.09,0.45,0.11,0.1,0.75,82,56,7.2,387,E
Dark Souls II,X360,2014,Role-Playing,0.49,0.18,0.01,0.07,0.75,91,30,7.9,916,T
Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,0.34,0.07,0.27,0.05,0.73,83,56,8.1,169,M
The LEGO Movie Videogame,PS4,2014,Action,0.24,0.31,0.01,0.11,0.67,71,31,7.1,98,E10+
Freedom Wars,PSV,2014,Role-Playing,0.15,0.1,0.32,0.08,0.65,73,39,8.3,266,T
Borderlands 2,PSV,2014,Shooter,0.33,0.16,0.01,0.15,0.65,64,31,7.6,358,M
2014 FIFA World Cup Brazil,PS3,2014,Sports,0.15,0.36,0.01,0.1,0.62,73,33,4.3,87,E
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,0.22,0.29,0.01,0.1,0.62,75,23,7.6,261,E10+
Borderlands: The Pre-Sequel,PS3,2014,Shooter,0.26,0.21,0.05,0.1,0.62,77,24,6.3,130,M
Kinect Sports Rivals,XOne,2014,Sports,0.3,0.24,0.02,0.05,0.61,60,53,5.1,144,E10+
Final Fantasy Explorers,3DS,2014,Role-Playing,0.17,0.09,0.28,0.03,0.57,69,57,6.9,89,E10+
Lords of the Fallen,PS4,2014,Role-Playing,0.18,0.24,0.02,0.08,0.52,68,45,6.5,436,M
Pokemon Art Academy ,3DS,2014,Misc,0.18,0.12,0.16,0.03,0.49,76,22,7.7,19,E
Mario Golf: World Tour,3DS,2014,Sports,0.15,0.13,0.17,0.03,0.48,78,73,8.2,76,E
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,Fighting,0.15,0.14,0.09,0.06,0.44,73,26,7.5,102,T
Trials Fusion,PS4,2014,Racing,0.13,0.22,0.01,0.07,0.42,79,51,7.2,245,E10+
Wii Sports Clu,WiiU,2014,Sports,0.17,0.14,0.04,0.03,0.38,68,21,7,106,E10+
Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,0.13,0.08,0.15,0.02,0.37,83,52,8.3,67,T
Fossil Fighters: Frontier,3DS,2014,Role-Playing,0.09,0.04,0.23,0.01,0.37,57,25,4.8,19,E10+
Murdered: Soul Suspect,PS4,2014,Action,0.09,0.16,0.02,0.05,0.32,59,60,6.9,317,M
Dragon Ball Z: Battle of Z,PS3,2014,Fighting,0.1,0.1,0.06,0.04,0.31,54,32,5.3,103,T
One Piece: Unlimited World Red,PS3,2014,Action,0.09,0.1,0.06,0.04,0.28,71,28,7.3,46,T
Onechanbara Z2: Chaos,PS4,2014,Action,0.14,0.03,0.04,0.04,0.25,57,40,6.5,72,M
Samurai Warriors 4,PS4,2014,Action,0.08,0.07,0.06,0.03,0.24,76,31,8.1,76,T
Senran Kagura 2: Deep Crimson ,3DS,2014,Action,0.11,0.02,0.08,0.01,0.23,58,28,6.7,57,M
The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,0.03,0.04,0.13,0.02,0.22,80,24,7.4,79,T
Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Action,0.07,0.01,0.12,0.03,0.22,72,35,8.4,79,M
God of War Collection,PSV,2014,Action,0.08,0.07,0.01,0.05,0.21,73,28,7.4,133,M
Dynasty Warriors 8: Empires,PS4,2014,Action,0.07,0.07,0.03,0.03,0.2,63,30,7.3,45,T
Castlevania: Lords of Shadow 2,PS3,2014,Action,0.03,0.12,0.02,0.03,0.2,63,55,7.7,530,M
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,0.06,0.03,0.08,0.02,0.19,76,26,7.8,45,E10+
GRID Autosport,PS3,2014,Racing,0.05,0.09,0.01,0.03,0.18,75,35,6.8,62,E
Ar Nosurge: Ode to an Unborn Star,PS3,2014,Role-Playing,0.05,0.03,0.06,0.02,0.16,67,23,7.9,50,T
Hyperdevotion Noire: Goddess Black Heart,PSV,2014,Role-Playing,0.05,0.01,0.06,0.02,0.14,68,24,7.1,36,T
Hyperdimension Neptunia U: Action Unleashed,PSV,2014,Action,0.04,0.01,0.06,0.02,0.12,71,20,6.8,44,T
Natural Doctrine,PS4,2014,Role-Playing,0.05,0.02,0.02,0.01,0.1,53,31,6,79,M
Lost Dimension,PSV,2014,Role-Playing,0.04,0.01,0.02,0.02,0.09,72,28,8.3,35,T
Grand Theft Auto V,PS3,2013,Action,7.02,9.14,0.98,3.97,21.12,97,50,8.2,4009,M
Grand Theft Auto V,X360,2013,Action,9.66,5.17,0.06,1.41,16.3,97,58,8.1,3722,M
Call of Duty: Ghosts,X360,2013,Shooter,6.75,2.58,0.04,0.91,10.28,73,29,2.6,2118,M
FIFA 14,PS3,2013,Sports,0.79,4.24,0.07,1.38,6.48,86,37,4.3,576,E
The Last of Us,PS3,2013,Action,2.41,2.19,0.29,0.99,5.89,95,98,9.1,8039,M
Tomodachi Life,3DS,2013,Simulation,0.99,2.23,1.91,0.25,5.39,71,52,7.6,156,E
Luigis Mansion: Dark Moon,3DS,2013,Action,1.82,1.39,1.12,0.29,4.62,86,74,8.4,461,E
Super Mario 3D World,WiiU,2013,Platform,2.18,1.23,0.73,0.34,4.47,93,83,9,1615,E
FIFA 14,X360,2013,Sports,0.93,2.89,0.01,0.4,4.22,84,41,4.2,436,E
Call of Duty: Ghosts,PS4,2013,Shooter,1.78,1.43,0.05,0.57,3.83,78,49,3.7,1570,M
Assassins Creed IV: Black Flag,PS3,2013,Action,1.33,1.69,0.13,0.57,3.72,88,36,8.1,846,M
Battlefield 4,X360,2013,Shooter,2.15,1.02,0.02,0.31,3.49,79,21,5.6,546,M
Assassins Creed IV: Black Flag,X360,2013,Action,1.9,1.11,0.01,0.29,3.31,86,35,7.9,706,M
Gran Turismo 6,PS3,2013,Racing,0.74,1.68,0.4,0.45,3.28,81,81,7.7,762,E
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,1.41,1.03,0.46,0.23,3.13,91,81,8.9,1070,E
FIFA 14,PS4,2013,Sports,0.62,1.85,0.12,0.44,3.02,87,26,6.3,619,E
Assassins Creed IV: Black Flag,PS4,2013,Action,1.07,1.31,0.06,0.42,2.85,83,29,7.8,1553,M
Killzone: Shadow Fall,PS4,2013,Shooter,0.89,1.34,0.08,0.39,2.69,73,88,6.8,2113,M
Batman: Arkham Origins,PS3,2013,Action,1.08,0.8,0.04,0.38,2.3,76,46,7.7,671,T
Forza Motorsport 5,XOne,2013,Racing,1.26,0.79,0.01,0.2,2.25,79,76,5.9,1096,E
God of War: Ascension,PS3,2013,Action,1.23,0.63,0.04,0.35,2.25,80,89,7.5,916,M
New Super Luigi U,WiiU,2013,Platform,1.25,0.62,0.18,0.18,2.24,77,59,7.9,288,E
NBA 2K14,PS3,2013,Sports,1.44,0.31,0.04,0.32,2.11,84,26,4.9,145,E
Mario Party: Island Tour,3DS,2013,Misc,0.64,0.73,0.55,0.12,2.05,57,47,6.2,118,E
Need for Speed Rivals,PS4,2013,Racing,0.73,0.92,0.03,0.3,1.98,80,53,6.2,675,E10+
BioShock Infinite,X360,2013,Shooter,1.22,0.54,0.02,0.16,1.93,93,33,8.5,1652,M
Diablo III,PS3,2013,Role-Playing,0.72,0.75,0.16,0.29,1.91,86,43,6.4,557,M
LEGO Marvel Super Heroes,PS3,2013,Action,0.77,0.79,0.01,0.3,1.87,82,22,7.8,77,E10+
Wii Party U,WiiU,2013,Misc,0.3,0.58,0.84,0.05,1.77,65,38,6.8,135,E
Knack,PS4,2013,Platform,0.44,0.68,0.42,0.2,1.74,54,83,6.5,1079,E10+
BioShock Infinite,PS3,2013,Shooter,0.72,0.65,0.04,0.28,1.7,94,27,8.5,1868,M
Saints Row IV,X360,2013,Action,1.01,0.5,0.01,0.13,1.66,81,42,6.5,326,M
Beyond: Two Souls,PS3,2013,Adventure,0.52,0.8,0.06,0.26,1.63,70,98,8.1,2659,M
LEGO Marvel Super Heroes,PS4,2013,Action,0.59,0.76,0.01,0.26,1.62,83,22,7.7,262,E10+
Dead Rising 3,XOne,2013,Action,1.06,0.35,0.01,0.15,1.57,78,69,6.8,910,M
Gears of War: Judgment,X360,2013,Shooter,0.92,0.5,0.03,0.12,1.57,79,81,5.5,784,M
NBA 2K14,PS4,2013,Sports,0.9,0.31,0.01,0.23,1.45,85,20,6.5,369,E
Metal Gear Rising: Revengeance,PS3,2013,Action,0.46,0.37,0.44,0.16,1.42,80,61,7.9,752,M
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,0.43,0.36,0.32,0.16,1.27,85,50,8.5,335,T
Saints Row IV,PS3,2013,Action,0.57,0.41,0.09,0.19,1.26,76,26,6.3,278,M
Injustice: Gods Among Us,PS3,2013,Fighting,0.49,0.5,0.01,0.2,1.19,78,37,7.9,283,T
Pikmin 3,WiiU,2013,Strategy,0.45,0.33,0.29,0.07,1.13,87,79,8.7,666,E10+
LEGO City Undercover,WiiU,2013,Platform,0.49,0.44,0.13,0.08,1.13,80,66,8.2,283,E10+
Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,0.31,0.2,0.45,0.11,1.07,66,62,5.9,556,T
Tom Clancys Splinter Cell: Blacklist,X360,2013,Action,0.57,0.32,0.01,0.08,0.98,82,58,7.5,384,M
Tom Clancys Splinter Cell: Blacklist,PS3,2013,Action,0.34,0.4,0.06,0.16,0.94,84,27,7.7,314,M
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,0.32,0.32,0.15,0.15,0.93,77,32,7.9,189,T
Disney Magical World,3DS,2013,Adventure,0.17,0.2,0.53,0.03,0.93,71,27,7.3,22,E
Crysis 3,X360,2013,Shooter,0.51,0.31,0.01,0.08,0.9,76,45,6.7,345,M
Crysis 3,PS3,2013,Shooter,0.26,0.42,0.03,0.16,0.87,77,23,6.3,288,M
Killzone: Mercenary,PSV,2013,Shooter,0.2,0.4,0.04,0.17,0.82,78,86,8.8,517,M
DmC: Devil May Cry,PS3,2013,Action,0.24,0.26,0.19,0.1,0.79,85,40,5.3,1475,M
Dead Island: Riptide,X360,2013,Action,0.44,0.26,0.01,0.07,0.78,57,43,6.3,193,M
Resident Evil: Revelations,PS3,2013,Action,0.14,0.29,0.22,0.09,0.74,74,30,7.2,204,M
Rayman Legends,WiiU,2013,Platform,0.25,0.33,0.03,0.05,0.66,92,35,8.7,467,E10+
Dead Island: Riptide,PS3,2013,Action,0.26,0.19,0.07,0.09,0.6,62,25,5.9,142,M
Dynasty Warriors 8,PS3,2013,Action,0.12,0.1,0.34,0.05,0.6,68,26,8.4,77,T
JoJos Bizarre Adventure: All Star Battle,PS3,2013,Fighting,0.05,0.02,0.5,0.01,0.58,71,53,8.3,55,T
F1 2013,PS3,2013,Racing,0.01,0.42,0.03,0.09,0.54,77,22,6.3,41,E
Dragons Crown,PS3,2013,Role-Playing,0.25,0.07,0.17,0.05,0.54,82,62,8.3,289,T
Soul Sacrifice,PSV,2013,Role-Playing,0.15,0.08,0.22,0.06,0.51,77,71,8.2,298,M
Sonic Lost World,3DS,2013,Platform,0.24,0.14,0.07,0.04,0.49,59,34,6.4,145,E10+
DmC: Devil May Cry,X360,2013,Action,0.27,0.12,0.01,0.04,0.44,86,65,5.1,1440,M
Metro: Last Light,PS3,2013,Action,0.14,0.18,0.03,0.07,0.42,80,23,8.2,508,
The Wonderful 101,WiiU,2013,Action,0.19,0.1,0.08,0.03,0.4,78,75,8.5,496,T
Sonic Lost World,WiiU,2013,Platform,0.23,0.12,0.01,0.03,0.39,63,64,7.3,462,E10+
GRID 2,PS3,2013,Racing,0.07,0.22,0.01,0.08,0.38,82,20,6.6,174,E
